season,week,day_of_week,time_of_game,primetime,playoff_game,team_home,score_home,score_away,team_away,team_favored_id,point_spread,total_line,stadium,game_location,stadium_neutral,weather_temp,wind_mph,indoor,point_differential,total_points_scored,favorite,total_result,result,cover_result,team_favored_id_int,spread_category,winner,loser,cover_id
2017,19,5,8:30 PM,1,1,LAR,13,26,ATL,LAR,-6.5,48,Los Angeles Memorial Coliseum,"Los Angeles, California",0,62,3,0,-13,39,1,0,0,0,18,Medium Spread,ATL,LAR,ATL
2017,19,6,1:00 PM,0,1,JAX,10,3,BUF,JAX,-8,39.5,EverBank Field,"Jacksonville, Florida",0,53,18,0,7,13,1,0,1,0,15,High Spread,JAX,BUF,BUF
2017,19,6,4:30 PM,0,1,NO,31,26,CAR,NO,-6.5,47.5,Caesars Superdome,"New Orleans, Louisiana",0,72,0,1,5,57,1,1,1,0,23,Medium Spread,NO,CAR,CAR
2017,20,5,8:30 PM,1,1,NE,35,14,TEN,NE,-13.5,48.5,Gillette Stadium,"Foxboro, Massachusetts",0,24,12,0,21,49,1,1,1,1,22,High Spread,NE,TEN,NE
2017,20,5,4:30 PM,0,1,PHI,15,10,ATL,ATL,-2.5,40,Lincoln Financial Field,"Philadelphia, Pennsylvania",0,32,16,0,5,25,0,0,1,1,2,Low Spread,PHI,ATL,PHI
2017,20,6,4:30 PM,0,1,MIN,29,24,NO,MIN,-5.5,46.5,U.S. Bank Stadium,"Minneapolis, Minnesota",0,72,0,1,5,53,1,1,1,0,21,Medium Spread,MIN,NO,NO
2017,20,6,1:00 PM,0,1,PIT,42,45,JAX,PIT,-7,40.5,Acrisure Stadium,"Pittsburgh, Pennsylvania",0,18,2,0,-3,87,1,1,0,0,28,Medium Spread,JAX,PIT,JAX
2017,21,6,3:00 PM,0,1,NE,24,20,JAX,NE,-7.5,46,Gillette Stadium,"Foxboro, Massachusetts",0,48,2,0,4,44,1,0,1,0,22,Medium Spread,NE,JAX,JAX
2017,21,6,6:30 PM,1,1,PHI,38,7,MIN,MIN,-3,39,Lincoln Financial Field,"Philadelphia, Pennsylvania",0,46,1,0,31,45,0,1,1,1,21,Low Spread,PHI,MIN,PHI
2017,22,6,6:30 PM,1,1,NE,33,41,PHI,NE,-4.5,48.5,U.S. Bank Stadium,"Minneapolis, Minnesota",1,72,0,1,-8,74,1,1,0,0,22,Medium Spread,PHI,NE,PHI
2018,1,3,8:30 PM,1,0,PHI,18,12,ATL,PHI,-1,44.5,Lincoln Financial Field,"Philadelphia, Pennsylvania",0,81,8,0,6,30,1,0,1,1,26,Low Spread,PHI,ATL,PHI
2018,1,6,4:30 PM,0,0,ARI,6,24,WAS,ARI,-2,43.5,State Farm Stadium,"Glendale, Arizona",0,72,0,1,-18,30,1,0,0,0,1,Low Spread,WAS,ARI,WAS
2018,1,6,1:00 PM,0,0,BAL,47,3,BUF,BAL,-7.5,39,M&T Bank Stadium,"Baltimore, Maryland",0,61,12,0,44,50,1,1,1,1,3,Medium Spread,BAL,BUF,BAL
2018,1,6,4:30 PM,0,0,CAR,16,8,DAL,CAR,-2.5,42.5,Bank of America Stadium,"Charlotte, North Carolina",0,81,9,0,8,24,1,0,1,1,5,Low Spread,CAR,DAL,CAR
2018,1,6,1:00 PM,0,0,CLE,21,21,PIT,PIT,-3.5,41,FirstEnergy Stadium,"Cleveland, Ohio",0,58,11,0,0,42,0,1,0,1,28,Medium Spread,Tie,Tie,CLE
2018,1,6,4:30 PM,0,0,DEN,27,24,SEA,DEN,-3,42.5,Empower Field at Mile High,"Denver, Colorado",0,84,5,0,3,51,1,1,1,2,10,Low Spread,DEN,SEA,Push
2018,1,6,8:30 PM,1,0,GB,24,23,CHI,GB,-6.5,45,Lambeau Field,"Green Bay, Wisconsin",0,62,10,0,1,47,1,1,1,0,12,Medium Spread,GB,CHI,CHI
2018,1,6,1:00 PM,0,0,IND,23,34,CIN,CIN,-1,47.5,Lucas Oil Stadium,"Indianapolis, Indiana",0,72,0,1,-11,57,0,1,0,0,7,Low Spread,CIN,IND,CIN
2018,1,6,4:00 PM,0,0,LAC,28,38,KC,LAC,-3.5,48,Dignity Health Sports Park,"Carson, California",0,84,8,0,-10,66,1,1,0,0,17,Medium Spread,KC,LAC,KC
2018,1,6,1:00 PM,0,0,MIA,27,20,TEN,TEN,-1,43.5,Hard Rock Stadium,"Miami Gardens, Florida",0,89,7,0,7,47,0,1,1,1,32,Low Spread,MIA,TEN,MIA
2018,1,6,1:00 PM,0,0,MIN,24,16,SF,MIN,-6,46.5,U.S. Bank Stadium,"Minneapolis, Minnesota",0,72,0,1,8,40,1,0,1,1,21,Medium Spread,MIN,SF,MIN
2018,1,6,1:00 PM,0,0,NE,27,20,HOU,NE,-6,49.5,Gillette Stadium,"Foxboro, Massachusetts",0,62,10,0,7,47,1,0,1,1,22,Medium Spread,NE,HOU,NE
2018,1,6,1:00 PM,0,0,NO,40,48,TB,NO,-10,50,Caesars Superdome,"New Orleans, Louisiana",0,72,0,1,-8,88,1,1,0,0,23,High Spread,TB,NO,TB
2018,1,6,1:00 PM,0,0,NYG,15,20,JAX,JAX,-2.5,43,MetLife Stadium,"East Rutherford, New Jersey",0,59,7,0,-5,35,0,0,0,0,15,Low Spread,JAX,NYG,JAX
2018,1,0,7:00 PM,1,0,DET,17,48,NYJ,DET,-7,44,Ford Field,"Detroit, Michigan",0,72,0,1,-31,65,1,1,0,0,11,Medium Spread,NYJ,DET,NYJ
2018,1,0,10:30 PM,1,0,LVR,13,33,LAR,LAR,-6.5,47.5,Oakland Coliseum,"Oakland, California",0,69,10,0,-20,46,0,0,0,0,18,Medium Spread,LAR,LVR,LAR
2018,2,3,8:30 PM,1,0,CIN,34,23,BAL,CIN,-1,43,Paycor Stadium,"Cincinatti, Ohio",0,82,3,0,11,57,1,1,1,1,7,Low Spread,CIN,BAL,CIN
2018,2,6,1:00 PM,0,0,ATL,31,24,CAR,ATL,-5.5,44,Mercedes-Benz Stadium,"Atlanta, Georgia",0,72,0,1,7,55,1,1,1,1,2,Medium Spread,ATL,CAR,ATL
2018,2,6,1:00 PM,0,0,BUF,20,31,LAC,LAC,-7.5,41.5,New Era Field,"Orchard Park, New York",0,83,6,0,-11,51,0,1,0,0,17,Medium Spread,LAC,BUF,LAC
2018,2,6,8:30 PM,1,0,DAL,20,13,NYG,DAL,-3,42,AT&T Stadium,"Arlington, Texas",0,72,0,1,7,33,1,0,1,1,9,Low Spread,DAL,NYG,DAL
2018,2,6,4:30 PM,0,0,DEN,20,19,LVR,DEN,-5.5,44,Empower Field at Mile High,"Denver, Colorado",0,92,4,0,1,39,1,0,1,0,10,Medium Spread,DEN,LVR,LVR
2018,2,6,1:00 PM,0,0,GB,29,29,MIN,MIN,-2,45,Lambeau Field,"Green Bay, Wisconsin",0,80,5,0,0,58,0,1,0,1,21,Low Spread,Tie,Tie,GB
2018,2,6,4:30 PM,0,0,JAX,31,20,NE,NE,-2,44.5,EverBank Field,"Jacksonville, Florida",0,97,15,0,11,51,0,1,1,1,22,Low Spread,JAX,NE,JAX
2018,2,6,4:00 PM,0,0,LAR,34,0,ARI,LAR,-13.5,43.5,Los Angeles Memorial Coliseum,"Los Angeles, California",0,86,2,0,34,34,1,0,1,1,18,High Spread,LAR,ARI,LAR
2018,2,6,1:00 PM,0,0,NO,21,18,CLE,NO,-10,51,Caesars Superdome,"New Orleans, Louisiana",0,72,0,1,3,39,1,0,1,0,23,High Spread,NO,CLE,CLE
2018,2,6,1:00 PM,0,0,NYJ,12,20,MIA,NYJ,-3,43,MetLife Stadium,"East Rutherford, New Jersey",0,80,4,0,-8,32,1,0,0,0,25,Low Spread,MIA,NYJ,MIA
2018,2,6,1:00 PM,0,0,PIT,37,42,KC,PIT,-4.5,52,Acrisure Stadium,"Pittsburgh, Pennsylvania",0,80,10,0,-5,79,1,1,0,0,28,Medium Spread,KC,PIT,KC
2018,2,6,4:00 PM,0,0,SF,30,27,DET,SF,-6,48.5,Levi's Stadium,"Santa Clara, California",0,73,12,0,3,57,1,1,1,0,30,Medium Spread,SF,DET,DET
2018,2,6,1:00 PM,0,0,TB,27,21,PHI,PHI,-3,46.5,Raymond James Stadium,"Tampa, Florida",0,91,9,0,6,48,0,1,1,1,26,Low Spread,TB,PHI,TB
