,Unnamed: 0,game_date,season,week,day_of_week,time_of_game,primetime,playoff_game,team_home,score_home,score_away,team_away,team_favored_id,point_spread,total_line,stadium,game_location,stadium_capacity,stadium_latitude,stadium_longitude,stadium_elevation,stadium_neutral,weather_temp,wind_mph,indoor,point_differential,total_points_scored,favorite,total_result,result,cover_result,team_favored_id_int,spread_category,winner,loser,cover_id
84,84,10/16/16,2016,6,6,1:00 PM,0,0,NE,35,17,CIN,NE,-7.5,48.0,Gillette Stadium,"Foxboro, Massachusetts","68,756",42.091,-71.264,289.0,0,66,7,0,18,52,1,1,1,1,22,Medium Spread,NE,CIN,NE
85,85,10/16/16,2016,6,6,1:00 PM,0,0,NO,41,38,CAR,CAR,-2.5,53.5,Caesars Superdome,"New Orleans, Louisiana","76,468",29.9511,-90.08197,3.0,0,72,0,1,3,79,0,1,1,1,5,Low Spread,NO,CAR,NO
86,86,10/16/16,2016,6,6,1:00 PM,0,0,NYG,27,23,BAL,NYG,-3.5,42.5,MetLife Stadium,"East Rutherford, New Jersey","82,500",40.813528,-74.074361,3.0,0,66,6,0,4,50,1,1,1,1,24,Medium Spread,NYG,BAL,NYG
87,87,10/16/16,2016,6,6,4:00 PM,0,0,LVR,10,26,KC,KC,-1.0,46.5,Oakland Coliseum,"Oakland, California","53,250",37.751667,-122.200556,21.0,0,61,5,0,-16,36,0,0,0,0,16,Low Spread,KC,LVR,KC
88,88,10/16/16,2016,6,6,4:30 PM,0,0,SEA,26,24,ATL,SEA,-7.0,45.5,Lumen Field,"Seattle, Washington","67,000",47.6523,-122.4095,20.0,0,54,5,0,2,50,1,1,1,0,29,Medium Spread,SEA,ATL,ATL
89,89,10/16/16,2016,6,6,1:00 PM,0,0,TEN,28,26,CLE,TEN,-7.5,44.5,Nissan Stadium,"Nashville, Tennessee","69,143",36.166389,-86.771389,430.0,0,79,7,0,2,54,1,1,1,0,32,Medium Spread,TEN,CLE,CLE
90,90,10/16/16,2016,6,6,1:00 PM,0,0,WAS,27,20,PHI,PHI,-3.0,45.0,FedEx Field,"Landover, Maryland","79,000",38.907778,-76.864444,265.0,0,69,5,0,7,47,0,1,1,1,26,Low Spread,WAS,PHI,WAS
91,91,10/17/16,2016,6,0,8:30 PM,1,0,ARI,28,3,NYJ,ARI,-7.0,45.5,State Farm Stadium,"Glendale, Arizona","63,400",33.528,-112.263,1068.0,0,72,0,1,25,31,1,0,1,1,1,Medium Spread,ARI,NYJ,ARI
92,92,10/20/16,2016,7,3,8:30 PM,1,0,GB,26,10,CHI,GB,-7.5,46.5,Lambeau Field,"Green Bay, Wisconsin","80,735",44.501389,-88.062222,640.0,0,47,3,0,16,36,1,0,1,1,12,Medium Spread,GB,CHI,GB
93,93,10/23/16,2016,7,6,8:30 PM,1,0,ARI,6,6,SEA,ARI,-2.5,43.0,State Farm Stadium,"Glendale, Arizona","63,400",33.528,-112.263,1068.0,0,72,0,1,0,12,1,0,0,0,1,Low Spread,Tie,Tie,SEA
94,94,10/23/16,2016,7,6,4:00 PM,0,0,ATL,30,33,LAC,ATL,-4.5,52.5,Mercedes-Benz Stadium,"Atlanta, Georgia",71000,33.755556,-84.4,1050.0,0,72,0,1,-3,63,1,1,0,0,2,Medium Spread,LAC,ATL,LAC
