,season,week,primetime,playoff_game,score_home,score_away,point_spread,total_line,stadium_neutral,weather_temp,wind_mph,indoor,point_differential,total_points_scored,favorite,result,cover_result,total_result,winner_id,loser_id,cover_map,clusters,cluster
192,2016,14,1,0,21,13,-3.5,46.0,0,23,4,0,8,34,1,1,1,0,16,19,16,0,pink
193,2016,14,0,0,20,27,-2.0,45.5,0,24,6,0,-7,47,0,0,0,1,27,4,27,0,pink
194,2016,14,0,0,28,16,-1.0,48.5,0,42,2,0,12,44,1,1,1,0,5,17,5,0,pink
195,2016,14,0,0,10,23,-5.0,41.5,0,28,13,0,-13,33,0,0,0,0,7,8,7,0,pink
196,2016,14,0,0,20,17,-7.5,42.0,0,72,0,1,3,37,1,1,0,0,11,6,6,1,purple
197,2016,14,0,0,38,10,-3.0,47.0,0,27,2,0,28,48,0,1,1,1,12,28,12,0,pink
198,2016,14,0,0,17,22,-6.5,47.5,0,72,0,1,-5,39,1,0,0,0,13,14,13,1,purple
199,2016,14,0,0,16,25,-3.5,38.0,0,66,1,0,-9,41,0,0,0,1,21,15,21,1,purple
200,2016,14,0,0,14,42,-5.0,44.0,0,64,2,0,-28,56,0,0,0,1,2,18,2,1,purple
201,2016,14,0,0,26,23,-2.0,44.0,0,75,15,0,3,49,0,1,1,1,20,1,20,2,blue
202,2016,14,1,0,10,7,-3.5,47.0,0,30,2,0,3,17,0,1,1,0,24,9,24,0,pink
203,2016,14,0,0,22,27,-2.5,48.5,0,33,2,0,-5,49,0,0,0,1,32,26,32,0,pink
204,2016,14,0,0,17,23,-3.0,43.0,0,53,3,0,-6,40,1,0,0,0,25,29,25,1,purple
205,2016,14,0,0,16,11,-2.0,52.0,0,75,9,0,5,27,1,1,1,0,30,23,30,1,purple
206,2016,14,0,0,13,10,-2.0,44.0,0,48,11,0,3,23,1,1,1,0,31,10,31,0,pink
207,2016,14,1,0,30,23,-6.0,45.0,0,33,1,0,7,53,1,1,1,1,22,3,22,0,pink
208,2016,15,1,0,24,3,-15.0,39.5,0,35,3,0,21,27,1,1,1,0,28,18,28,0,pink
209,2016,15,1,0,13,34,-2.5,40.0,0,34,3,0,-21,47,0,0,0,1,20,25,20,0,pink
210,2016,15,0,0,41,48,-3.0,48.5,0,72,0,1,-7,89,1,0,0,1,23,1,23,2,blue
211,2016,15,0,0,41,13,-13.5,51.5,0,72,0,1,28,54,1,1,1,1,2,29,2,2,blue
212,2016,15,0,0,27,26,-5.0,41.0,0,58,6,0,1,53,1,1,0,1,3,26,26,2,blue
213,2016,15,0,0,33,13,-10.5,43.0,0,25,12,0,20,46,1,1,1,1,4,8,4,0,pink
214,2016,15,0,0,27,30,-4.5,40.0,0,9,7,0,-3,57,0,0,1,1,12,6,6,0,pink
215,2016,15,0,0,20,24,-3.0,45.5,0,26,7,0,-4,44,0,0,0,0,27,7,27,0,pink
216,2016,15,1,0,26,20,-7.0,47.5,0,72,0,1,6,46,1,1,0,0,9,30,30,2,blue
217,2016,15,0,0,3,16,-3.0,43.0,0,27,3,0,-13,19,0,0,0,0,22,10,22,0,pink
218,2016,15,0,0,21,20,-3.5,39.5,0,72,0,1,1,41,1,1,0,1,13,15,15,1,purple
219,2016,15,0,0,17,19,-6.0,43.0,0,2,2,0,-2,36,1,0,0,0,31,16,31,0,pink
220,2016,15,0,0,6,34,-5.0,44.5,0,72,0,1,-28,40,1,0,0,0,14,21,14,1,purple
221,2016,15,0,0,17,6,-4.0,42.5,0,48,4,0,11,23,1,1,1,0,24,11,24,0,pink
222,2016,15,0,0,16,19,-2.5,49.5,0,60,2,0,-3,35,0,0,0,0,19,17,19,1,purple
223,2016,15,1,0,15,26,-7.0,50.5,0,30,3,0,-11,41,1,0,0,0,5,32,5,0,pink
224,2016,16,1,0,24,19,-1.5,42.5,0,41,8,0,5,43,1,1,1,1,26,24,26,0,pink
225,2016,16,0,0,31,34,-4.5,44.5,0,35,7,0,-3,65,1,0,0,1,20,4,20,0,pink
226,2016,16,0,0,16,33,-3.0,49.0,0,52,4,0,-17,49,0,0,0,2,2,5,2,1,purple
227,2016,16,0,0,21,41,-3.0,49.0,0,35,1,0,-20,62,0,0,0,1,32,6,32,0,pink
228,2016,16,0,0,20,17,-4.5,45.0,0,37,10,0,3,37,0,1,1,0,8,17,8,0,pink
229,2016,16,0,0,38,25,-6.0,44.5,0,35,4,0,13,63,1,1,1,1,12,21,12,0,pink
230,2016,16,1,0,12,10,-3.0,41.5,0,72,0,1,2,22,1,1,0,0,13,7,7,1,purple
231,2016,16,0,0,38,17,-4.0,44.0,0,65,2,0,21,55,0,1,1,1,15,31,15,2,blue
232,2016,16,0,0,21,22,-6.0,39.5,0,55,7,0,-1,43,1,0,0,1,29,18,29,0,pink
233,2016,16,0,0,41,3,-17.0,45.0,0,40,4,0,38,44,1,1,1,0,22,25,22,0,pink
234,2016,16,0,0,31,24,-3.0,53.0,0,72,0,1,7,55,1,1,1,1,23,30,23,2,blue
235,2016,16,0,0,33,25,-3.5,52.0,0,48,5,0,8,58,1,1,1,1,19,14,19,2,blue
236,2016,16,0,0,31,34,-9.0,43.5,0,39,2,0,-3,65,1,0,0,1,1,28,1,0,pink
237,2016,16,1,0,33,10,-3.5,38.0,0,60,11,0,23,43,1,1,1,1,16,10,16,2,blue
238,2016,16,0,0,31,27,-5.5,46.5,0,39,4,0,4,58,1,1,0,1,27,3,3,0,pink
239,2016,16,1,0,42,21,-6.5,46.5,0,72,0,1,21,63,1,1,1,1,9,11,9,2,blue
240,2016,17,0,0,38,32,-7.5,58.5,0,72,0,1,6,70,1,1,0,1,2,23,23,2,blue
241,2016,17,0,0,27,10,-2.5,40.5,0,38,1,0,17,37,0,1,1,0,7,3,7,0,pink
242,2016,17,0,0,24,6,-1.0,40.0,0,48,3,0,18,30,1,1,1,0,10,19,10,0,pink
